oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.1_DMSO_0.025,DMSO_0.1_DMSO_1.0,DMSO_0.1_Z-VAD-FMK_100.0,DMSO_0.1_Z-VAD-FMK_30.0,Disulfiram_0.1_DMSO_0.025,Disulfiram_1.0_DMSO_0.025,Disulfiram_2.5_DMSO_0.025,Flagellin_0.1_DMSO_0.00025,Flagellin_0.1_DMSO_0.025,Flagellin_1.0_DMSO_0.00025,Flagellin_1.0_DMSO_0.025,Flagellin_1.0_Disulfiram_1.0,H2O2_100.0_DMSO_0.025,H2O2_100.0_Disulfiram_1.0,H2O2_100.0_Z-VAD-FMK_100.0,LPS_0.01_DMSO_0.025,LPS_0.1_DMSO_0.025,LPS_1.0_DMSO_0.025,LPS_10.0_DMSO_0.025,LPS_10.0_Disulfiram_0.1,LPS_10.0_Disulfiram_1.0,LPS_10.0_Disulfiram_2.5,LPS_10.0_Z-VAD-FMK_100.0,LPS_100.0_DMSO_0.025,LPS_Nigericin_1.0_1.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_Disulfiram_1.0,LPS_Nigericin_1.0_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.0_3.0_DMSO_0.025,LPS_Nigericin_100.0_1.0_DMSO_0.025,LPS_Nigericin_100.0_10.0_DMSO_0.025,LPS_Nigericin_100.0_3.0_DMSO_0.025,Thapsigargin_1.0_DMSO_0.025,Thapsigargin_10.0_DMSO_0.025,Topotecan_10.0_DMSO_0.025,Topotecan_20.0_DMSO_0.025,Topotecan_5.0_DMSO_0.025,media ctr_0.0_Media ctr_0.0,media ctr_0.0_Media_0.0
LPS_10.0_DMSO_0.025,0.035427878388128255,-0.15583133151170292,-0.1014154277336445,-0.0024562404220557174,0.05618597706020345,0.063702690418406,0.030780408625764782,0.5713774403034402,0.6521160154179625,0.727671482229606,0.7585990481485183,0.7621403275916246,0.00038226270576270584,0.14918461767457797,-0.1592569856402061,0.8807328320003893,0.8968082365888419,0.8917950738233533,1.0,0.7463330575873653,0.7302217014201622,0.7504609777258149,-0.22443382351765623,0.8935127812954502,0.10275923639063089,-0.18592503121660375,0.21004986408475204,-0.41362471142009555,-0.1286579686125983,0.5145512796526626,-0.10865873531398582,0.1193248010279662,0.08693678137636456,0.06377583017470582,0.0023179510218919825,-0.029133248996921546,-0.004396254845103703,0.03088745869885472,0.10137765451816177
LPS_10.0_Disulfiram_0.1,0.1297627592357053,0.0005522088237618619,0.14402708082582286,0.14498770938398223,0.1485384358988203,0.17328895932403587,0.11185840300586411,0.48339017070775697,0.562110110169796,0.5892856891946281,0.6225433896955306,0.7769492485230928,0.09308499203735625,0.24211629250965236,0.05139752897700507,0.735395890440684,0.7194279619858556,0.7305953955763274,0.7463330575873653,1.0,0.8295014899152041,0.8489919499680595,0.04873765139266414,0.7779485102226356,0.3152134442999238,0.062163672318838896,0.4623435848987046,-0.17273919502320825,0.1255256057016828,0.6578595986676052,0.08360851549955707,0.32742501209756225,0.10429378687518055,0.03661270247255971,0.08666974475565202,0.07766953139578191,0.07634169708979542,0.1108777031495929,0.09977995011196088
LPS_10.0_Disulfiram_1.0,0.1448089792201139,0.016258198181175815,0.10187410034507852,0.13186865908244846,0.13696870196341351,0.13790705435840095,0.17205254213279636,0.4479235978337844,0.506777971626893,0.5541245587626888,0.6021521227437853,0.8023497245033361,0.09424444744696948,0.25509450304926995,0.03476766407248381,0.6471462010800394,0.6605766431510324,0.6673954557894713,0.7302217014201622,0.8295014899152041,1.0,0.883829300488842,0.03801322082620933,0.7264159462992702,0.3157987910331053,0.03998968691492184,0.4166065088003579,-0.20367774327865268,0.0950866643595464,0.6033559367110141,0.09805022515746906,0.3326876904478378,0.09862158829890452,0.003211176756251337,0.07282057837246281,0.05097141394633005,0.10845650785695007,0.10599963094523476,0.1304993865392353
LPS_10.0_Disulfiram_2.5,0.15058472244720655,0.013879492300577754,0.07560364277118133,0.14732268499845574,0.1520051644641035,0.18189142672460973,0.15407137431252851,0.4745073033397546,0.5379511183225012,0.5502287293310371,0.5976849806726942,0.7894307079218736,0.1168369914277779,0.24296740921340043,0.004737332955052841,0.6616289332015421,0.6840159042239228,0.6937695299412489,0.7504609777258149,0.8489919499680595,0.883829300488842,1.0,0.015101531909510251,0.783652032647029,0.35769665156645825,0.07292541149321995,0.46603818709777045,-0.20632755589186025,0.12365996995000467,0.6697179741045288,0.13343976802934637,0.3537607978030391,0.10271742682374113,-0.0035245151056777133,0.10434937063986996,0.07607865270576443,0.12017456513834582,0.13074310135498005,0.1280040281141111
LPS_10.0_Z-VAD-FMK_100.0,0.5047722097422025,0.6644026384181638,0.7577421638330323,0.5375992736328333,0.5002083770274705,0.4390625743491008,0.47609835758106833,-0.006627495635267857,-0.05952151753190112,-0.17579846685998382,-0.07994959281931101,-0.09160848100880534,0.5337424738926431,0.42642517526846735,0.7138967682704361,-0.24837494400700896,-0.2319145948088658,-0.24408583586824617,-0.22443382351765623,0.04873765139266414,0.03801322082620933,0.015101531909510251,1.0,-0.1746455582415706,0.36723678030358364,0.30302754986234853,0.43019820942236536,0.7710834672850344,0.3477150122670093,0.15879350340877135,0.2810899065306032,0.3565573481213118,0.2799883577755599,0.09291604021320968,0.5025883789321755,0.5114171450344218,0.5010464650517926,0.5017066478520099,0.4106415275729807
LPS_100.0_DMSO_0.025,0.03919983146170944,-0.14845482542517144,-0.06668474968946289,0.03975223880558028,0.04999590045242869,0.07880367964148427,0.023272233880701317,0.5983688210690341,0.6731143631288976,0.7461970517935484,0.7516177130528902,0.7821635284624987,0.016501508996105925,0.16516548155029012,-0.1300100363193493,0.8711534120257436,0.8681045493149997,0.9043752191596484,0.8935127812954502,0.7779485102226356,0.7264159462992702,0.783652032647029,-0.1746455582415706,1.0,0.16442561865451077,-0.11416248953745815,0.275667274145572,-0.3804790098963205,-0.07539525750420159,0.6155667618300741,-0.06992609337909511,0.1674057069974947,0.08205594984983243,0.04545154849279756,0.010159451799078739,0.0017422908377972917,-0.009380679918883816,0.05391008201781759,0.07798658120543632
LPS_Nigericin_1.0_1.0_DMSO_0.025,0.09544899030032956,0.1296972925303277,0.22545117260004668,0.1864222550014755,0.12065059537035878,0.13371502163011906,0.11506050242828393,0.01827847310102369,0.06142352985909294,0.09731580923885168,0.09220419587190384,0.2258466666608601,0.09923117654632173,0.15766350927103714,0.2203402092904833,0.006770197279521628,0.0349662673031663,0.09077962652677496,0.10275923639063089,0.3152134442999238,0.3157987910331053,0.35769665156645825,0.36723678030358364,0.16442561865451077,1.0,0.7522229409147208,0.7472459175474916,0.38697347692312933,0.8049409766094194,0.6357103768985365,0.7530560157181874,0.8343013833969712,0.018280797704631778,-0.16968967159102846,0.1303652209060312,0.09298877415877302,0.10634269801472743,0.06577857290120395,0.07096328073383994
LPS_Nigericin_1.0_10.0_DMSO_0.025,-0.07958429696606173,0.058499757624824594,0.15996073913921782,0.035593970727394175,-0.04503474790371613,-0.01874037483878843,-0.04687042860810122,-0.20006554935037774,-0.1780301003659171,-0.15677478281239848,-0.1813056300129015,-0.039505977138708716,-0.03698053438626582,-0.03586250685879379,0.16522975473782942,-0.24232374674847038,-0.220547545816521,-0.1708049105807958,-0.18592503121660375,0.062163672318838896,0.03998968691492184,0.07292541149321995,0.30302754986234853,-0.11416248953745815,0.7522229409147208,1.0,0.505391588996852,0.46312623922909574,0.9062176547015192,0.31618829535771154,0.8769600844163499,0.7450749223362881,-0.18275948307162887,-0.28262077721288553,-0.035741857102205996,-0.002999081803597461,-0.02369749891708976,-0.09079492286346547,-0.1011760514329983
LPS_Nigericin_1.0_10.0_Disulfiram_1.0,0.2572953450030509,0.25773879830272356,0.31819959563535055,0.28439318186512513,0.2608999310109054,0.2938116654136938,0.25587524434638226,0.18465156795729376,0.2040148653703591,0.2314656622104217,0.17078242533165633,0.334738078150951,0.25688589302950643,0.2875849019755872,0.2806847843378782,0.1538611657094193,0.1497860247313455,0.2154171365418502,0.21004986408475204,0.4623435848987046,0.4166065088003579,0.46603818709777045,0.43019820942236536,0.275667274145572,0.7472459175474916,0.505391588996852,1.0,0.39200257112073905,0.5704373169856658,0.7093490538492544,0.5135257221366759,0.6967863116975038,0.1320564120921579,-0.04554557490296454,0.2721552420755966,0.267024429792341,0.24312410437861245,0.22356717666492967,0.21455358122210644
LPS_Nigericin_1.0_10.0_Z-VAD-FMK_100.0,0.3121609544788726,0.5270353567683718,0.6125979778148694,0.39642291739085056,0.31061327319644844,0.27497472792207384,0.28313459589871887,-0.2159708699227339,-0.2463308442010446,-0.33205998661457214,-0.30636388101434026,-0.29039998487461816,0.35564547760313603,0.21439576145165104,0.5835330922224922,-0.4525208413819524,-0.45408906330392007,-0.4133510035133391,-0.41362471142009555,-0.17273919502320825,-0.20367774327865268,-0.20632755589186025,0.7710834672850344,-0.3804790098963205,0.38697347692312933,0.46312623922909574,0.39200257112073905,1.0,0.46496948512129055,0.020688319015510603,0.37768927215259274,0.3501631699949076,0.10778666801251693,-0.12751462857281945,0.3556533335062301,0.3586503450294337,0.33943916523965717,0.30729348424867553,0.21254581218806293
LPS_Nigericin_1.0_3.0_DMSO_0.025,-0.03342003789892216,0.07816614512588362,0.20677455559943697,0.07184572863271659,-0.018888649976281147,-0.008613356501810755,-0.010321924582216806,-0.16772778336977653,-0.16999137295759456,-0.19187118354415283,-0.15420395314951085,-0.012084800619269994,-0.006417131105051256,0.020073476846267986,0.22031260991468335,-0.21584067727730388,-0.20603834303035715,-0.1506622480947657,-0.1286579686125983,0.1255256057016828,0.0950866643595464,0.12365996995000467,0.3477150122670093,-0.07539525750420159,0.8049409766094194,0.9062176547015192,0.5704373169856658,0.46496948512129055,1.0,0.3854551007584992,0.872552122262775,0.7794518146778122,-0.13630315149695194,-0.278442795279428,0.002458388678509743,0.015378685513253615,0.007862158493214477,-0.06880389408921624,-0.0896548728968764
LPS_Nigericin_100.0_1.0_DMSO_0.025,0.21411675622451157,0.07900309823443437,0.1125896345042265,0.21367124407999402,0.2482738548283028,0.2884593470569825,0.21349426994302445,0.4063740810220835,0.47406498471041747,0.48365782107271243,0.4829840188861725,0.5582221465382492,0.22315783360257083,0.30383824781694957,0.07331116192028234,0.47851883627384206,0.4577204024379711,0.5433195413334845,0.5145512796526626,0.6578595986676052,0.6033559367110141,0.6697179741045288,0.15879350340877135,0.6155667618300741,0.6357103768985365,0.31618829535771154,0.7093490538492544,0.020688319015510603,0.3854551007584992,1.0,0.4005856333196001,0.6211976131939706,0.19841093884241567,0.026443345646656555,0.21747731205082133,0.19929045176825175,0.2003744655964842,0.17738355372119238,0.18788175891259468
LPS_Nigericin_100.0_10.0_DMSO_0.025,-0.02112712195822773,0.05928094154097974,0.13647911912832703,0.06777284818007093,-0.002828311830697554,0.013054561085808422,0.026061924512919107,-0.17225216315967132,-0.16345606932293114,-0.12193059017955396,-0.14127759783302465,-0.026145607793707896,-0.007237733813117943,0.017754185578309756,0.13862680250978707,-0.21783491718115072,-0.20409370183327072,-0.13611275998111713,-0.10865873531398582,0.08360851549955707,0.09805022515746906,0.13343976802934637,0.2810899065306032,-0.06992609337909511,0.7530560157181874,0.8769600844163499,0.5135257221366759,0.37768927215259274,0.872552122262775,0.4005856333196001,1.0,0.8113329240334877,-0.13815128755340295,-0.25265819753063185,-0.00865071397781182,-0.011944281854294393,0.0336005505659366,-0.04109741243986206,-0.06400399642465078
LPS_Nigericin_100.0_3.0_DMSO_0.025,0.11465315522773756,0.15338784583558832,0.22771658459320518,0.19654273879822695,0.1409657020493122,0.14132230716537225,0.15933216240631295,0.0387245909093025,0.04786386121585842,0.08087992910872152,0.09458141519713587,0.20756722514307227,0.11309700602450201,0.1876477827448301,0.21552689622155644,0.026112818335976017,0.03022531679227344,0.08305627621615859,0.1193248010279662,0.32742501209756225,0.3326876904478378,0.3537607978030391,0.3565573481213118,0.1674057069974947,0.8343013833969712,0.7450749223362881,0.6967863116975038,0.3501631699949076,0.7794518146778122,0.6211976131939706,0.8113329240334877,1.0,0.008472282502555299,-0.15075960182386128,0.11739572885567935,0.09856658587089082,0.14338754166981543,0.0890707747483393,0.08457753998257514
Thapsigargin_1.0_DMSO_0.025,0.7876123874382076,0.5838227544703589,0.43379751249843884,0.6452258711435745,0.750806220474323,0.7558911003011898,0.7320577172856907,0.3645602397646125,0.41349787177384756,0.20823816107563994,0.31805044942015487,0.14501408817323994,0.7623128908717943,0.758456509811933,0.4270220127643017,0.11714845767395181,0.12033550739925698,0.08484047135089644,0.08693678137636456,0.10429378687518055,0.09862158829890452,0.10271742682374113,0.2799883577755599,0.08205594984983243,0.018280797704631778,-0.18275948307162887,0.1320564120921579,0.10778666801251693,-0.13630315149695194,0.19841093884241567,-0.13815128755340295,0.008472282502555299,1.0,0.6921931873990465,0.7621261213827951,0.7160755361976163,0.7501717639369655,0.7557877129422,0.6841629556077438
Thapsigargin_10.0_DMSO_0.025,0.4798005764979675,0.27280020663286414,0.25037326876288174,0.4485621712505759,0.480068419472021,0.47344912496776664,0.45954975414597776,0.2908868678444726,0.3505859392730279,0.16140219748774665,0.24318349977255813,0.11894836718683877,0.45376123351972614,0.5166139387934873,0.22148452859017545,0.11703416977916337,0.12457207763480571,0.035767355576793725,0.06377583017470582,0.03661270247255971,0.003211176756251337,-0.0035245151056777133,0.09291604021320968,0.04545154849279756,-0.16968967159102846,-0.28262077721288553,-0.04554557490296454,-0.12751462857281945,-0.278442795279428,0.026443345646656555,-0.25265819753063185,-0.15075960182386128,0.6921931873990465,1.0,0.43193853602870846,0.41240410617916373,0.4346902551066169,0.48428183215979,0.4744033869467237
Topotecan_10.0_DMSO_0.025,0.9189678070531411,0.8145967845108333,0.5973014618112269,0.6980148629605059,0.8865661958599408,0.8701301151705524,0.8823246341428329,0.3383077123472685,0.3189945592007084,0.13806976036342514,0.2365383562985868,0.09939668087283203,0.9125695905675009,0.816704168813031,0.5857200914405383,0.021755935890238932,0.03148676151821555,-0.01438860805141595,0.0023179510218919825,0.08666974475565202,0.07282057837246281,0.10434937063986996,0.5025883789321755,0.010159451799078739,0.1303652209060312,-0.035741857102205996,0.2721552420755966,0.3556533335062301,0.002458388678509743,0.21747731205082133,-0.00865071397781182,0.11739572885567935,0.7621261213827951,0.43193853602870846,1.0,0.8967448372364804,0.9028870767945972,0.8858633128263494,0.7884561732024361
Topotecan_20.0_DMSO_0.025,0.8955487143327665,0.7839705884961633,0.5792338299576634,0.6652436086693446,0.8673956579908648,0.8583153602758564,0.8296923406373118,0.3149574329792026,0.31422016709781164,0.139232981403944,0.21325824427875725,0.08116743178452943,0.9046127191552924,0.8303734717688461,0.5674530363429741,0.014352755847754656,0.021722578087884366,-0.019087768976190606,-0.029133248996921546,0.07766953139578191,0.05097141394633005,0.07607865270576443,0.5114171450344218,0.0017422908377972917,0.09298877415877302,-0.002999081803597461,0.267024429792341,0.3586503450294337,0.015378685513253615,0.19929045176825175,-0.011944281854294393,0.09856658587089082,0.7160755361976163,0.41240410617916373,0.8967448372364804,1.0,0.8634759766965298,0.8729433832386178,0.7734877615138
Topotecan_5.0_DMSO_0.025,0.9190738077933481,0.8222941054101416,0.5871699499690812,0.7017539526389486,0.8697238119201568,0.8505004674589242,0.874492910028242,0.3053950109579158,0.2918459790386385,0.1317899608118381,0.22573955876974633,0.09115904240654137,0.9056934056875529,0.8378519458149137,0.5599891418127823,0.01864171579058647,0.013753792207857564,-0.03383253414174683,-0.004396254845103703,0.07634169708979542,0.10845650785695007,0.12017456513834582,0.5010464650517926,-0.009380679918883816,0.10634269801472743,-0.02369749891708976,0.24312410437861245,0.33943916523965717,0.007862158493214477,0.2003744655964842,0.0336005505659366,0.14338754166981543,0.7501717639369655,0.4346902551066169,0.9028870767945972,0.8634759766965298,1.0,0.8724614657436085,0.7710955282712677
media ctr_0.0_Media ctr_0.0,0.9218326765143338,0.8116411677129624,0.5897652246870908,0.6790335800846626,0.8899487406853581,0.8644565209300252,0.8775905126783106,0.34247066453981717,0.38123619418148585,0.18472277930953082,0.28640780066481397,0.12167677635269074,0.9219195780559195,0.8573709245217979,0.5379246722543586,0.07988709514104773,0.06963939015362322,0.02382541588810993,0.03088745869885472,0.1108777031495929,0.10599963094523476,0.13074310135498005,0.5017066478520099,0.05391008201781759,0.06577857290120395,-0.09079492286346547,0.22356717666492967,0.30729348424867553,-0.06880389408921624,0.17738355372119238,-0.04109741243986206,0.0890707747483393,0.7557877129422,0.48428183215979,0.8858633128263494,0.8729433832386178,0.8724614657436085,1.0,0.8012716676810844
media ctr_0.0_Media_0.0,0.8237954053921476,0.6762180921801142,0.4747145839154899,0.620927179390567,0.7749508395735575,0.7895696329481017,0.7956422812764417,0.31812042745639413,0.3502199768070343,0.157390127008354,0.3079046139847775,0.18118534831607375,0.8007349564163724,0.7695899365876296,0.46879099028074156,0.1207825252230206,0.11689502421018447,0.06366933375954222,0.10137765451816177,0.09977995011196088,0.1304993865392353,0.1280040281141111,0.4106415275729807,0.07798658120543632,0.07096328073383994,-0.1011760514329983,0.21455358122210644,0.21254581218806293,-0.0896548728968764,0.18788175891259468,-0.06400399642465078,0.08457753998257514,0.6841629556077438,0.4744033869467237,0.7884561732024361,0.7734877615138,0.7710955282712677,0.8012716676810844,1.0
