oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.1_DMSO_0.025,DMSO_0.1_DMSO_1.0,DMSO_0.1_Z-VAD-FMK_100.0,DMSO_0.1_Z-VAD-FMK_30.0,Disulfiram_0.1_DMSO_0.025,Disulfiram_1.0_DMSO_0.025,Disulfiram_2.5_DMSO_0.025,Flagellin_0.1_DMSO_0.025,Flagellin_1.0_DMSO_0.025,Flagellin_1.0_Disulfiram_1.0,H2O2_100.0_DMSO_0.025,H2O2_100.0_Disulfiram_1.0,H2O2_100.0_Z-VAD-FMK_100.0,LPS_0.01_DMSO_0.025,LPS_0.1_DMSO_0.025,LPS_1.0_DMSO_0.025,LPS_10.0_DMSO_0.025,LPS_10.0_Disulfiram_0.1,LPS_10.0_Disulfiram_1.0,LPS_10.0_Disulfiram_2.5,LPS_10.0_Z-VAD-FMK_100.0,LPS_100.0_DMSO_0.025,LPS_Nigericin_1.0_1.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_Disulfiram_1.0,LPS_Nigericin_1.0_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.0_3.0_DMSO_0.025,LPS_Nigericin_100.0_1.0_DMSO_0.025,LPS_Nigericin_100.0_10.0_DMSO_0.025,LPS_Nigericin_100.0_3.0_DMSO_0.025,Thapsigargin_1.0_DMSO_0.025,Thapsigargin_10.0_DMSO_0.025,Topotecan_10.0_DMSO_0.025,Topotecan_20.0_DMSO_0.025,Topotecan_5.0_DMSO_0.025,media ctr_0.0_Media ctr_0.0
DMSO_0.1_DMSO_0.025,1.0,0.6900847462056992,0.7250541291487906,0.5629999194794842,0.6623636920502479,0.6130248643101149,0.4981635816193157,0.10063052990196376,0.01997572469327407,-0.08970285593850795,0.6379485494864033,0.4910652293837135,0.46420280046881773,0.5146506622332055,0.5094242207154044,0.33308660089759534,0.3893931678496062,0.22820786717691977,0.44811996153613726,0.30401660208164927,0.5716878928749534,0.3082785632398346,0.4882141186939597,0.3592696609969703,0.358700884088138,0.2949531705180095,0.3448447077903408,0.3966487121381557,0.40686989771379606,0.4420907669296317,0.46779418720480226,0.6310591399264833,0.6816053957695933,0.6348575650969207,0.6937309342853154,0.45892129554466843
DMSO_0.1_DMSO_1.0,0.6900847462056992,1.0,0.6515474336436289,0.5090042202191045,0.6275428547283894,0.5678434353584609,0.5446102542393958,0.0501148960878155,-0.023135319342687574,-0.04507402212326263,0.5387426359180225,0.45816720494423235,0.4733618467987107,0.46251140120171236,0.4671186248604244,0.2742833476785993,0.2718165092308754,0.10635273910461174,0.3421154147971067,0.2268183110779702,0.4543048962564268,0.17071915008550517,0.40719061772101717,0.2740223841994272,0.36257041325932304,0.3417774672144521,0.26289486349493985,0.3560009588387507,0.388051970633188,0.3389823594621155,0.46030376939624507,0.5838810248184513,0.6107336537992398,0.5671545365909412,0.5799670844761367,0.4717880944707743
DMSO_0.1_Z-VAD-FMK_100.0,0.7250541291487906,0.6515474336436289,1.0,0.5688559144983307,0.5654247157257437,0.5005150415823868,0.41657771216116585,0.03295180841156443,-0.020690700180731398,-0.05882801665404171,0.5521990811373171,0.4086614364497612,0.45808072751792245,0.4968831869107991,0.5107184763141885,0.2988091532443127,0.3781039421050072,0.13365847901742411,0.39909166219947967,0.22491047008659268,0.4565866080661416,0.24678933350638754,0.46977553438305364,0.37111670594303214,0.29628246843620165,0.2700415541836056,0.2579471728842435,0.36515706393356007,0.40176167595946227,0.32936545951257074,0.4277657624003501,0.62525361646557,0.6235887373065945,0.5790669837648309,0.6541225429607492,0.3941346095842435
DMSO_0.1_Z-VAD-FMK_30.0,0.5629999194794842,0.5090042202191045,0.5688559144983307,1.0,0.584297822298115,0.5588968685684806,0.524733114989213,0.13556458875905572,0.04314544219120647,0.051225196470009914,0.6052313142776959,0.4870077919591491,0.4572669220855696,0.5086456409332983,0.4335582393296126,0.3009468621862598,0.21122488007471887,0.14199706616439453,0.3051649951546135,0.1527259710644496,0.33606591182853124,0.20183971831299793,0.357919384892417,0.24059379592013708,0.37143521697187615,0.3856071359141191,0.23188929120392482,0.2663179859220808,0.22981372992568797,0.3119773951186,0.37038517226143625,0.49667549984143505,0.4436080905946815,0.47090909167083056,0.49747239742680194,0.5675475009385816
Disulfiram_0.1_DMSO_0.025,0.6623636920502479,0.6275428547283894,0.5654247157257437,0.584297822298115,1.0,0.6341954798765836,0.5835433940505776,0.11640728745627192,0.06087776786136412,0.10825079151374462,0.6684705486550369,0.5293630818606253,0.45195022693307774,0.5050600802723839,0.5063212818692692,0.269678802052769,0.21015123335941704,0.15220400827974426,0.3304180712851219,0.28843350847906074,0.40805409321189234,0.22039944887423069,0.3816161801027268,0.28770458840784646,0.41760620483364824,0.43530886002891694,0.2814066309669023,0.39119976361510195,0.3200352347739217,0.28592690485419126,0.48670448016896517,0.5816209075998078,0.574904230973423,0.5448530106097045,0.596615343019689,0.5492027632330424
Disulfiram_1.0_DMSO_0.025,0.6130248643101149,0.5678434353584609,0.5005150415823868,0.5588968685684806,0.6341954798765836,1.0,0.5672646899906514,0.24560236695529433,0.049863314280290574,0.17756269296230967,0.6529678050185245,0.5941316082778564,0.5474218435243581,0.4945321149570348,0.37917292799056695,0.23571721649486352,0.18080664819107717,0.12952805768397962,0.23569134061535388,0.2817086851543375,0.32260912882596665,0.044316142859921206,0.31301197488693033,0.25129030737852565,0.5397222096266967,0.49691275945844476,0.28772829443975084,0.23769893727761837,0.33977967946526805,0.1726727617651389,0.4369094092004763,0.4596977138773003,0.5571515762166387,0.5527229791605824,0.5436068488513927,0.6186254411524706
Disulfiram_2.5_DMSO_0.025,0.4981635816193157,0.5446102542393958,0.41657771216116585,0.524733114989213,0.5835433940505776,0.5672646899906514,1.0,0.025207504930814573,0.03047559768033639,0.2009745262014753,0.6198053424317579,0.4737014216735205,0.48746827249516145,0.4471701976491022,0.29836835165271625,0.20584794727768568,0.12566568215039697,0.10129264516200048,0.2616861611085649,0.16125056876523092,0.2686538903856341,0.07613829975798823,0.2648250846553864,0.24793171896589045,0.4252041365710044,0.4430409533241642,0.2440312561552658,0.22735305866936686,0.3377492973252508,0.15413827244238537,0.4406480424176599,0.4353251676037679,0.46334279927194366,0.4995653350362206,0.4349364834411764,0.6361089380408278
Flagellin_0.1_DMSO_0.025,0.10063052990196376,0.0501148960878155,0.03295180841156443,0.13556458875905572,0.11640728745627192,0.24560236695529433,0.025207504930814573,1.0,0.4153585766443888,0.32991830276976347,0.10895010692334692,0.12523803238022824,0.056362650663912384,0.05273820210803854,0.2814917355281722,0.4608838890183216,0.4287942872935392,0.4363227808507625,0.24088923744513746,0.37010726794597093,0.21871223732346617,0.3485179624594251,0.17822879133138522,0.28461468745026636,0.09027486257498808,0.14522340775637152,0.3657390974283004,0.27811716409858167,0.1717018106065273,0.160169395452086,-0.09626972382859306,0.02186544219819821,0.1453021538482934,0.03662493131177542,0.13174765314986833,0.042320664034486345
Flagellin_1.0_DMSO_0.025,0.01997572469327407,-0.023135319342687574,-0.020690700180731398,0.04314544219120647,0.06087776786136412,0.049863314280290574,0.03047559768033639,0.4153585766443888,1.0,0.30027907704395723,0.018685102718460255,-0.027454226232665028,-0.040868062105966434,-0.04869555190298625,0.29835033211233863,0.4464961871026727,0.4597202266818514,0.450890256642734,0.3313545017113181,0.38328593448326276,0.23944566442993873,0.4841016051824346,0.2047187288223561,0.2482564087564303,-0.024785410253470194,-0.059915770650537936,0.2883162063599161,0.22292761169279252,0.15382038116038474,0.2622307383386089,-0.18723135464046609,-0.016798820357357896,0.01868130454537034,-0.01458686680825576,-0.058268655548166244,-0.03902123552747595
Flagellin_1.0_Disulfiram_1.0,-0.08970285593850795,-0.04507402212326263,-0.05882801665404171,0.051225196470009914,0.10825079151374462,0.17756269296230967,0.2009745262014753,0.32991830276976347,0.30027907704395723,1.0,0.2107349889261621,0.14679416806182385,0.1795785725893089,0.21627581836234097,0.10379287348199501,0.203668272452227,0.12418151940268245,0.24245803037058417,0.1872127941308499,0.2979547647528211,-0.013369831364256722,0.09830100357243222,-0.029137413449858804,0.1526951229087135,0.3660353081824678,0.3857032490920021,0.2672357048669419,0.2066098102362512,0.19271805414264012,-0.018922014605150726,0.10549710424799828,-0.019295172889745745,-0.020691645946057546,0.0009590888241645682,-0.14528835839223284,0.19513724769628063
H2O2_100.0_DMSO_0.025,0.6379485494864033,0.5387426359180225,0.5521990811373171,0.6052313142776959,0.6684705486550369,0.6529678050185245,0.6198053424317579,0.10895010692334692,0.018685102718460255,0.2107349889261621,1.0,0.6060869348446188,0.5450052210807165,0.5799313270538625,0.39264332226872284,0.2478836840721399,0.1225442228082058,0.0323626063329417,0.26201700687517593,0.22574910324938055,0.3316583779361279,0.08395851947740038,0.3099181208660362,0.2844597198283911,0.5151733749952373,0.45451226191773275,0.3320656461914391,0.2671946163136895,0.3386510352792625,0.20196358541847362,0.48836265651827077,0.5928977683257486,0.5337917797976356,0.5201543577725372,0.5958334326055151,0.6432004742802027
H2O2_100.0_Disulfiram_1.0,0.4910652293837135,0.45816720494423235,0.4086614364497612,0.4870077919591491,0.5293630818606253,0.5941316082778564,0.4737014216735205,0.12523803238022824,-0.027454226232665028,0.14679416806182385,0.6060869348446188,1.0,0.4621291989512497,0.4921826618435033,0.3061773100192578,0.18543110937052495,0.07179999192249353,0.022132584543441945,0.2561185691654301,0.1747316568939612,0.2849224743710081,0.018730740712743364,0.322003773051656,0.26858423119968244,0.46931917953736396,0.5088980682282961,0.21814549855384197,0.2703210586775174,0.3898963842630572,0.15214626932805506,0.401080841102646,0.5624554628986126,0.4620302347738442,0.400671866831404,0.41974796348267296,0.48580374235852075
H2O2_100.0_Z-VAD-FMK_100.0,0.46420280046881773,0.4733618467987107,0.45808072751792245,0.4572669220855696,0.45195022693307774,0.5474218435243581,0.48746827249516145,0.056362650663912384,-0.040868062105966434,0.1795785725893089,0.5450052210807165,0.4621291989512497,1.0,0.46929263147350914,0.32660851451725087,0.16681361597838662,0.061891061766296725,-0.01469249944251684,0.16640286472789362,0.13313642396743408,0.27199728207738705,0.08907400616383326,0.2506007127525889,0.273348480601584,0.4319407389584272,0.47418670535550284,0.14880382634371336,0.18206146031846426,0.3211789668610267,0.16698744147251668,0.4453114264050061,0.3917481350287425,0.43510868260399527,0.5073136317390358,0.4553078617513924,0.49693693408988465
LPS_0.01_DMSO_0.025,0.5146506622332055,0.46251140120171236,0.4968831869107991,0.5086456409332983,0.5050600802723839,0.4945321149570348,0.4471701976491022,0.05273820210803854,-0.04869555190298625,0.21627581836234097,0.5799313270538625,0.4921826618435033,0.46929263147350914,1.0,0.3297255874811282,0.26197013876113745,0.08569446465976681,-0.015876411434474144,0.13935952817740088,0.15234682127397162,0.21949298111991725,0.024366909086507387,0.24600774854186033,0.19657546704808995,0.4922439604104597,0.5081828188349153,0.23753898741979865,0.3624993537902513,0.38282603787881847,0.1484971752903134,0.5039762100295623,0.4718576508051546,0.5056518538349701,0.5065856185988495,0.4472769562192062,0.5692912262462647
LPS_0.1_DMSO_0.025,0.5094242207154044,0.4671186248604244,0.5107184763141885,0.4335582393296126,0.5063212818692692,0.37917292799056695,0.29836835165271625,0.2814917355281722,0.29835033211233863,0.10379287348199501,0.39264332226872284,0.3061773100192578,0.32660851451725087,0.3297255874811282,1.0,0.48554071446304825,0.44660681848576045,0.3565173660957738,0.4009934497352589,0.36953573754945646,0.45641284684510497,0.3880346375253298,0.49414452671529635,0.34359432956775626,0.2854022701988,0.266689836295015,0.28965462917826934,0.46113571150230936,0.32539970052135736,0.3970551019132881,0.3001400982106698,0.37503940490833126,0.4423427015241238,0.39496139504066036,0.4586267472469961,0.30956770738243045
LPS_1.0_DMSO_0.025,0.33308660089759534,0.2742833476785993,0.2988091532443127,0.3009468621862598,0.269678802052769,0.23571721649486352,0.20584794727768568,0.4608838890183216,0.4464961871026727,0.203668272452227,0.2478836840721399,0.18543110937052495,0.16681361597838662,0.26197013876113745,0.48554071446304825,1.0,0.5806831005127439,0.547066703413684,0.47966415143325575,0.47779802814552175,0.40130934184043077,0.5088958242624617,0.48953468374381753,0.4432186608437207,0.12346723799680838,0.1268502033222012,0.39101643125299745,0.4302302268209669,0.3149816035718421,0.3794729578695308,0.06784072323899916,0.2592423823491613,0.3085352618931344,0.25549921501131434,0.2493206477888901,0.15590594953509387
LPS_10.0_DMSO_0.025,0.3893931678496062,0.2718165092308754,0.3781039421050072,0.21122488007471887,0.21015123335941704,0.18080664819107717,0.12566568215039697,0.4287942872935392,0.4597202266818514,0.12418151940268245,0.1225442228082058,0.07179999192249353,0.061891061766296725,0.08569446465976681,0.44660681848576045,0.5806831005127439,1.0,0.6080409894059594,0.5946728700296454,0.5516838422342301,0.43900876542687683,0.6174163884244961,0.48367289057849144,0.4315331871632566,0.006880067079938534,-0.033039308311893285,0.40648585826734374,0.42483997674015356,0.3520019436507331,0.49373802739630956,-0.011683746548026189,0.22830978012559913,0.27091852989650816,0.18736271931502751,0.31346421462603535,-0.0028783810047599617
LPS_10.0_Disulfiram_0.1,0.22820786717691977,0.10635273910461174,0.13365847901742411,0.14199706616439453,0.15220400827974426,0.12952805768397962,0.10129264516200048,0.4363227808507625,0.450890256642734,0.24245803037058417,0.0323626063329417,0.022132584543441945,-0.01469249944251684,-0.015876411434474144,0.3565173660957738,0.547066703413684,0.6080409894059594,1.0,0.4823566587340291,0.5176420915382464,0.32631750589129027,0.5312230129450948,0.37356339559397633,0.3321451999440607,0.0070833886412414926,-0.007275117255761344,0.4535771859228139,0.3123280901856399,0.17890690550675928,0.349505435114012,-0.10236562667274417,0.06125737891170237,0.11614541678814981,0.07536873523721405,0.11396029737165979,0.006538500675954928
LPS_10.0_Disulfiram_1.0,0.44811996153613726,0.3421154147971067,0.39909166219947967,0.3051649951546135,0.3304180712851219,0.23569134061535388,0.2616861611085649,0.24088923744513746,0.3313545017113181,0.1872127941308499,0.26201700687517593,0.2561185691654301,0.16640286472789362,0.13935952817740088,0.4009934497352589,0.47966415143325575,0.5946728700296454,0.4823566587340291,1.0,0.5715678628208352,0.4274129574361661,0.5202475220797088,0.4948527611373828,0.40851520269917824,0.1435634009864903,0.1067285053406271,0.35949471484692896,0.3561832607933833,0.35497754835055484,0.4650034867057955,0.11946190979491621,0.3211365643477143,0.385094942912163,0.27703409956342334,0.384308566320738,0.10108704191827746
LPS_10.0_Disulfiram_2.5,0.30401660208164927,0.2268183110779702,0.22491047008659268,0.1527259710644496,0.28843350847906074,0.2817086851543375,0.16125056876523092,0.37010726794597093,0.38328593448326276,0.2979547647528211,0.22574910324938055,0.1747316568939612,0.13313642396743408,0.15234682127397162,0.36953573754945646,0.47779802814552175,0.5516838422342301,0.5176420915382464,0.5715678628208352,1.0,0.4032037150025011,0.41609704590399355,0.43035873077750214,0.3924222684190493,0.16038609138079435,0.12131230032512884,0.4307673552636158,0.3202037751085495,0.35265607018841644,0.3344045806776964,0.12100399189034935,0.24800854402820788,0.270768691844017,0.12339652608666939,0.23276938538312242,0.12366728514721582
LPS_10.0_Z-VAD-FMK_100.0,0.5716878928749534,0.4543048962564268,0.4565866080661416,0.33606591182853124,0.40805409321189234,0.32260912882596665,0.2686538903856341,0.21871223732346617,0.23944566442993873,-0.013369831364256722,0.3316583779361279,0.2849224743710081,0.27199728207738705,0.21949298111991725,0.45641284684510497,0.40130934184043077,0.43900876542687683,0.32631750589129027,0.4274129574361661,0.4032037150025011,1.0,0.39636780156663126,0.4614208101501698,0.3532214500561598,0.13566987410894515,0.1593852590354069,0.3274229807594166,0.3460010817758876,0.35385826305222173,0.4711014018947228,0.2376449008616493,0.416289355426016,0.4134818951150675,0.4025889254061066,0.46636143955032283,0.17282864600145592
LPS_100.0_DMSO_0.025,0.3082785632398346,0.17071915008550517,0.24678933350638754,0.20183971831299793,0.22039944887423069,0.044316142859921206,0.07613829975798823,0.3485179624594251,0.4841016051824346,0.09830100357243222,0.08395851947740038,0.018730740712743364,0.08907400616383326,0.024366909086507387,0.3880346375253298,0.5088958242624617,0.6174163884244961,0.5312230129450948,0.5202475220797088,0.41609704590399355,0.39636780156663126,1.0,0.31830223247521694,0.34571911097254726,-0.015464300025301062,-0.05527960627562706,0.29809595504567,0.37916885113765025,0.3103843556818793,0.5494779207050086,0.004328806630318198,0.17802796493298828,0.19237844662793227,0.1261350554363784,0.23284964791466903,0.006722594443960756
LPS_Nigericin_1.0_1.0_DMSO_0.025,0.4882141186939597,0.40719061772101717,0.46977553438305364,0.357919384892417,0.3816161801027268,0.31301197488693033,0.2648250846553864,0.17822879133138522,0.2047187288223561,-0.029137413449858804,0.3099181208660362,0.322003773051656,0.2506007127525889,0.24600774854186033,0.49414452671529635,0.48953468374381753,0.48367289057849144,0.37356339559397633,0.4948527611373828,0.43035873077750214,0.4614208101501698,0.31830223247521694,1.0,0.4501638782908889,0.1679431203228588,0.13612191686166336,0.372245998613404,0.3498245834292169,0.39416917954081737,0.48124127185817045,0.22313439000126886,0.4131015384111135,0.43189818435369287,0.395900561075486,0.509065039135436,0.23318371223916226
LPS_Nigericin_1.0_10.0_DMSO_0.025,0.3592696609969703,0.2740223841994272,0.37111670594303214,0.24059379592013708,0.28770458840784646,0.25129030737852565,0.24793171896589045,0.28461468745026636,0.2482564087564303,0.1526951229087135,0.2844597198283911,0.26858423119968244,0.273348480601584,0.19657546704808995,0.34359432956775626,0.4432186608437207,0.4315331871632566,0.3321451999440607,0.40851520269917824,0.3924222684190493,0.3532214500561598,0.34571911097254726,0.4501638782908889,1.0,0.28422558954149785,0.24411962149492464,0.37016525885519047,0.4552768164984909,0.5036587210001475,0.3271649430163283,0.13811525835448785,0.39507539221423316,0.3316596833423026,0.226216567232451,0.3242388125706234,0.2009394125617542
LPS_Nigericin_1.0_10.0_Disulfiram_1.0,0.358700884088138,0.36257041325932304,0.29628246843620165,0.37143521697187615,0.41760620483364824,0.5397222096266967,0.4252041365710044,0.09027486257498808,-0.024785410253470194,0.3660353081824678,0.5151733749952373,0.46931917953736396,0.4319407389584272,0.4922439604104597,0.2854022701988,0.12346723799680838,0.006880067079938534,0.0070833886412414926,0.1435634009864903,0.16038609138079435,0.13566987410894515,-0.015464300025301062,0.1679431203228588,0.28422558954149785,1.0,0.593267933837245,0.25335954093729285,0.29521131254933475,0.38070778173780007,0.10243499566627363,0.3333659703724081,0.4091340865054127,0.35604416977630005,0.2449871382431799,0.3123143054694196,0.5357133907676621
LPS_Nigericin_1.0_10.0_Z-VAD-FMK_100.0,0.2949531705180095,0.3417774672144521,0.2700415541836056,0.3856071359141191,0.43530886002891694,0.49691275945844476,0.4430409533241642,0.14522340775637152,-0.059915770650537936,0.3857032490920021,0.45451226191773275,0.5088980682282961,0.47418670535550284,0.5081828188349153,0.266689836295015,0.1268502033222012,-0.033039308311893285,-0.007275117255761344,0.1067285053406271,0.12131230032512884,0.1593852590354069,-0.05527960627562706,0.13612191686166336,0.24411962149492464,0.593267933837245,1.0,0.2831089968627274,0.3645964944933131,0.3430054092833259,0.1100496230572673,0.41452638012887905,0.36377164714096155,0.4432098010350234,0.3377827224960355,0.2910250141219404,0.5242869726786634
LPS_Nigericin_1.0_3.0_DMSO_0.025,0.3448447077903408,0.26289486349493985,0.2579471728842435,0.23188929120392482,0.2814066309669023,0.28772829443975084,0.2440312561552658,0.3657390974283004,0.2883162063599161,0.2672357048669419,0.3320656461914391,0.21814549855384197,0.14880382634371336,0.23753898741979865,0.28965462917826934,0.39101643125299745,0.40648585826734374,0.4535771859228139,0.35949471484692896,0.4307673552636158,0.3274229807594166,0.29809595504567,0.372245998613404,0.37016525885519047,0.25335954093729285,0.2831089968627274,1.0,0.365242500745821,0.3953895730577414,0.34541744677767006,0.10765829119682868,0.1999097284459143,0.3410360423294489,0.1804324431657968,0.23584679816293078,0.2146168951568854
LPS_Nigericin_100.0_1.0_DMSO_0.025,0.3966487121381557,0.3560009588387507,0.36515706393356007,0.2663179859220808,0.39119976361510195,0.23769893727761837,0.22735305866936686,0.27811716409858167,0.22292761169279252,0.2066098102362512,0.2671946163136895,0.2703210586775174,0.18206146031846426,0.3624993537902513,0.46113571150230936,0.4302302268209669,0.42483997674015356,0.3123280901856399,0.3561832607933833,0.3202037751085495,0.3460010817758876,0.37916885113765025,0.3498245834292169,0.4552768164984909,0.29521131254933475,0.3645964944933131,0.365242500745821,1.0,0.5945668951845532,0.5334548436597026,0.22836730919589976,0.45945801363037836,0.34113627721789636,0.32941117111419044,0.2876559736164477,0.213285419582817
LPS_Nigericin_100.0_10.0_DMSO_0.025,0.40686989771379606,0.388051970633188,0.40176167595946227,0.22981372992568797,0.3200352347739217,0.33977967946526805,0.3377492973252508,0.1717018106065273,0.15382038116038474,0.19271805414264012,0.3386510352792625,0.3898963842630572,0.3211789668610267,0.38282603787881847,0.32539970052135736,0.3149816035718421,0.3520019436507331,0.17890690550675928,0.35497754835055484,0.35265607018841644,0.35385826305222173,0.3103843556818793,0.39416917954081737,0.5036587210001475,0.38070778173780007,0.3430054092833259,0.3953895730577414,0.5945668951845532,1.0,0.4705519891423466,0.32648283689844304,0.503219266226251,0.3326039748536516,0.28054861237615203,0.3640073059167387,0.24102999785428927
LPS_Nigericin_100.0_3.0_DMSO_0.025,0.4420907669296317,0.3389823594621155,0.32936545951257074,0.3119773951186,0.28592690485419126,0.1726727617651389,0.15413827244238537,0.160169395452086,0.2622307383386089,-0.018922014605150726,0.20196358541847362,0.15214626932805506,0.16698744147251668,0.1484971752903134,0.3970551019132881,0.3794729578695308,0.49373802739630956,0.349505435114012,0.4650034867057955,0.3344045806776964,0.4711014018947228,0.5494779207050086,0.48124127185817045,0.3271649430163283,0.10243499566627363,0.1100496230572673,0.34541744677767006,0.5334548436597026,0.4705519891423466,1.0,0.15486114208111412,0.3507179328331062,0.347663930905236,0.30118094218067243,0.38334398725068325,0.12014861641597543
Thapsigargin_1.0_DMSO_0.025,0.46779418720480226,0.46030376939624507,0.4277657624003501,0.37038517226143625,0.48670448016896517,0.4369094092004763,0.4406480424176599,-0.09626972382859306,-0.18723135464046609,0.10549710424799828,0.48836265651827077,0.401080841102646,0.4453114264050061,0.5039762100295623,0.3001400982106698,0.06784072323899916,-0.011683746548026189,-0.10236562667274417,0.11946190979491621,0.12100399189034935,0.2376449008616493,0.004328806630318198,0.22313439000126886,0.13811525835448785,0.3333659703724081,0.41452638012887905,0.10765829119682868,0.22836730919589976,0.32648283689844304,0.15486114208111412,1.0,0.46412332059889405,0.43652143167476415,0.44400816649618924,0.3373616496013238,0.38809331448415074
Thapsigargin_10.0_DMSO_0.025,0.6310591399264833,0.5838810248184513,0.62525361646557,0.49667549984143505,0.5816209075998078,0.4596977138773003,0.4353251676037679,0.02186544219819821,-0.016798820357357896,-0.019295172889745745,0.5928977683257486,0.5624554628986126,0.3917481350287425,0.4718576508051546,0.37503940490833126,0.2592423823491613,0.22830978012559913,0.06125737891170237,0.3211365643477143,0.24800854402820788,0.416289355426016,0.17802796493298828,0.4131015384111135,0.39507539221423316,0.4091340865054127,0.36377164714096155,0.1999097284459143,0.45945801363037836,0.503219266226251,0.3507179328331062,0.46412332059889405,1.0,0.5658828538909852,0.4436949737313904,0.5254990094832346,0.34374829196458795
Topotecan_10.0_DMSO_0.025,0.6816053957695933,0.6107336537992398,0.6235887373065945,0.4436080905946815,0.574904230973423,0.5571515762166387,0.46334279927194366,0.1453021538482934,0.01868130454537034,-0.020691645946057546,0.5337917797976356,0.4620302347738442,0.43510868260399527,0.5056518538349701,0.4423427015241238,0.3085352618931344,0.27091852989650816,0.11614541678814981,0.385094942912163,0.270768691844017,0.4134818951150675,0.19237844662793227,0.43189818435369287,0.3316596833423026,0.35604416977630005,0.4432098010350234,0.3410360423294489,0.34113627721789636,0.3326039748536516,0.347663930905236,0.43652143167476415,0.5658828538909852,1.0,0.6030039897640077,0.6505999330838355,0.4777713463675381
Topotecan_20.0_DMSO_0.025,0.6348575650969207,0.5671545365909412,0.5790669837648309,0.47090909167083056,0.5448530106097045,0.5527229791605824,0.4995653350362206,0.03662493131177542,-0.01458686680825576,0.0009590888241645682,0.5201543577725372,0.400671866831404,0.5073136317390358,0.5065856185988495,0.39496139504066036,0.25549921501131434,0.18736271931502751,0.07536873523721405,0.27703409956342334,0.12339652608666939,0.4025889254061066,0.1261350554363784,0.395900561075486,0.226216567232451,0.2449871382431799,0.3377827224960355,0.1804324431657968,0.32941117111419044,0.28054861237615203,0.30118094218067243,0.44400816649618924,0.4436949737313904,0.6030039897640077,1.0,0.5437446568711901,0.5215818123619388
Topotecan_5.0_DMSO_0.025,0.6937309342853154,0.5799670844761367,0.6541225429607492,0.49747239742680194,0.596615343019689,0.5436068488513927,0.4349364834411764,0.13174765314986833,-0.058268655548166244,-0.14528835839223284,0.5958334326055151,0.41974796348267296,0.4553078617513924,0.4472769562192062,0.4586267472469961,0.2493206477888901,0.31346421462603535,0.11396029737165979,0.384308566320738,0.23276938538312242,0.46636143955032283,0.23284964791466903,0.509065039135436,0.3242388125706234,0.3123143054694196,0.2910250141219404,0.23584679816293078,0.2876559736164477,0.3640073059167387,0.38334398725068325,0.3373616496013238,0.5254990094832346,0.6505999330838355,0.5437446568711901,1.0,0.43518033141784446
media ctr_0.0_Media ctr_0.0,0.45892129554466843,0.4717880944707743,0.3941346095842435,0.5675475009385816,0.5492027632330424,0.6186254411524706,0.6361089380408278,0.042320664034486345,-0.03902123552747595,0.19513724769628063,0.6432004742802027,0.48580374235852075,0.49693693408988465,0.5692912262462647,0.30956770738243045,0.15590594953509387,-0.0028783810047599617,0.006538500675954928,0.10108704191827746,0.12366728514721582,0.17282864600145592,0.006722594443960756,0.23318371223916226,0.2009394125617542,0.5357133907676621,0.5242869726786634,0.2146168951568854,0.213285419582817,0.24102999785428927,0.12014861641597543,0.38809331448415074,0.34374829196458795,0.4777713463675381,0.5215818123619388,0.43518033141784446,1.0
